Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-12-29,1695,1868.78,1472.8,1816.19,350205441
2001-03-30,1785.67,1839.58,1305.02,1375.89,328319902
2001-06-29,1372.95,1523.73,1257.03,1271.22,222767465
2001-09-28,1269.72,1272.97,977.98,1022.62,232718680
2001-12-31,1019.55,1352.64,986.27,1208.34,386736929
2002-03-29,1202.03,1486.23,1200.32,1339.05,315853849
2002-06-28,1338.01,1414.21,1209.34,1216.35,240247888
2002-09-30,1207.4,1228.8,1026.65,1044.89,280818544
2002-12-31,1043.29,1262.32,1031.44,1175.64,223103273
2003-03-31,1171.99,1247.7,1062.72,1093.5,200856654
2003-06-30,1098.17,1257.84,1090.56,1252.03,262555735
2003-09-30,1242.96,1742.68,1227.9,1477.25,515172092
2003-12-31,1478.26,1721,1409.34,1574.04,329729102
2004-03-31,1576.62,1819.9,1576.19,1762.37,402466748
2004-06-30,1758.92,1874.97,1599.64,1726.83,314296341
2004-09-30,1723.4,1839.58,1639.77,1807.15,291549052
2004-12-31,1798.93,1966.04,1752.79,1960.57,460875397
2005-03-31,1962.85,2131.4,1807.72,1998.33,555810010
2005-06-30,2005.55,2081.69,1809.02,2047.3,442648130
2005-09-30,2042.79,2551.13,2014.33,2518.73,538954245
2005-12-30,2525.56,2702.61,2273.49,2654.95,620796650
2006-03-31,2640.23,2975.73,2627.03,2864.83,885305961
2006-06-30,2862.56,3348.81,2449.79,2889.67,1103254138
2006-09-29,2901.84,3224.68,2832.29,2918.83,1124636082
2006-12-29,2940.01,3429.79,2891.32,3285.49,1576820572
2007-03-30,3288.38,3561.42,3116.16,3520.24,1764386264
2007-06-29,3489.63,3848.36,3461.38,3759.28,1223376677
2007-09-28,3752.86,3919.1,3248.08,3633.64,1405416878
2007-12-31,3635.66,3940.53,3344.69,3456.05,2113453571
2008-03-31,3453.34,3491.01,2669.46,2981.07,2140041234
2008-06-30,2969.11,3074.98,2579.63,2591.09,1507820975
2008-09-30,2591.96,2760.21,2227.72,2384.22,2014458250
2008-12-31,2382.56,2456.38,1470.85,1789.73,2571274618
2009-03-31,1851.42,1921.47,1253.24,1511.85,2695511349
2009-06-30,1534.18,2042.7,1480.94,1862.36,3959028042
2009-09-30,1868.78,2317.07,1758.19,2192.37,3269815249
2009-12-31,2211.39,2453.17,2136.65,2388.72,2553402892
2010-03-31,2403.01,2523.27,2165.2,2495.6,3342605306
2010-06-30,2510.84,2619.13,2258.96,2271.03,2691794212
2010-09-30,2250.29,2615.22,2240.19,2615.22,1880244912
2010-12-31,2603.3,2787.09,2592.02,2744.17,2379858125
2011-03-31,2754.67,2846.6,2627.95,2816.96,1547365717
2011-06-30,2826.61,2942.39,2755.35,2802.01,1487450840
2011-09-30,2803.19,2829.1,2018.99,2188.73,1738988839
2011-12-30,2123.14,2433.44,2049.88,2144.48,1399997133
2012-03-30,2150.6,2401.5,2119.32,2286.53,1859357275
2012-06-29,2286.36,2313.81,2009.3,2275.3,2202147204
2012-09-28,2266.57,2424.09,2089.08,2371.42,1793647669
2012-12-31,2363.98,2618.06,2303.33,2582.98,2330094293
2013-03-29,2618.86,2634.18,2330.45,2370.07,2436122468
2013-06-28,2373.73,2512.99,2150.82,2245.64,3070397795
2013-09-30,2246.74,2475.83,2166.14,2391.53,1353811156
2013-12-31,2381.18,2625.83,2356.84,2400.98,1320720120
2014-03-31,2426.09,2526.9,2279.64,2462.47,1465668347
2014-06-30,2459.7,2505.3,2371.56,2408.81,1136774858
2014-09-30,2408.97,2559.94,2299.13,2500.29,1199778715
2014-12-31,2490.44,2504.53,2248.15,2315.94,1336709960
2015-03-31,2323.3,2414.78,2225.93,2395.94,1339415694
2015-06-30,2390.61,2558.58,2246.47,2317.84,1254445833
2015-09-30,2320.06,2334.15,2008.92,2066.37,1416601380
2015-12-31,2074.84,2152.93,1745.97,1859.15,1665019375
2016-03-31,1832.4,1999.93,1657.43,1997.69,1711482488
2016-06-30,1985.37,1988.78,1641.85,1750.69,1535328591
2016-09-30,1756.47,1869.53,1686.81,1709.51,1585925512
2016-12-30,1713.16,1957.17,1711.02,1947.92,1857855781
2017-03-31,1947.54,2308.92,1937.24,2175.96,1752035173
2017-06-30,2188.57,2422.31,2188.57,2299.8,1374394750
2017-09-29,2305.25,2550.74,2288.76,2453.46,1240903112
2017-12-29,2459.84,2566.59,2370.52,2461.21,1206313003
2018-03-30,2463.26,2650.16,2192.91,2210.38,1337708929
2018-06-29,2211.17,2341.94,2096.93,2135.47,1430939442
2018-09-28,2119.7,2395.77,2097.76,2257.47,1233537282
